,,,sysbench,,,y-cruncher,,,pgbench,,,iperf,,,,,,
instanceID,setId,tenants,sysbench_wall_time,sysbench_std,sysbench_cv,ycruncher_wall_time,ycruncher_std,ycruncher_cv,pgbench_transactions,pgbench_std,pgbench_cv,bandwidthUpload,bandwitdhDownload,iperf_total,stdUp,stdDown,stdTotal,iperf_cv
i-0d6feb91baa545931,1,47,9.0569138,0.02036445282,0.002248498028,6.502318965,0.1281843357,0.01971363392,121857.6667,456.4562776,0.003745815016,665.1,466.9,1132,263.8650539,83.71306814,321.6012023,0.284100002
i-0d75b8bf3603b2040,1,47,9.055646976,0.01950695586,0.002154120618,6.426370939,0.06085131085,0.00946900069,123772,244.043029,0.001971714354,526.7,527.7,1054.4,148.523137,105.8993757,224.5811905,0.2129943005
i-0dcfa6d3bc470d28d,1,47,9.051319599,0.01993156251,0.002202061511,6.429629564,0.04510133379,0.007014608437,124550.6667,775.1930942,0.006223917663,567.1,502.7,1069.8,198.4436388,155.8981505,319.4386743,0.2985966296
i-0e167bbfcd6a685f5,1,47,9.050197124,0.01541527452,0.00170330815,6.530959209,0.02910455692,0.004456398515,124012.6667,310.1891896,0.002501270216,552.6,538.1,1090.7,204.8908653,120.2603195,304.2751131,0.2789723234
i-0ede59d8254436a40,1,47,9.046478536,0.01495571155,0.001653208095,6.403067986,0.06066029764,0.009473630105,125163,234.9212634,0.0018769226,710,571,1281,363.5947072,145.3050431,474.8349421,0.3706752085
i-0f285214d5c41327e,1,47,9.050700506,0.01407194234,0.001554790409,6.491168552,0.03633677627,0.005597879023,125052.6667,325.0620454,0.002599401149,506.5,539.8,1046.3,110.1799034,141.3465403,174.6927779,0.166962418
i-0f472084ac3992ad9,1,47,9.060860687,0.01884260515,0.002079560187,6.527243747,0.0248824268,0.003812087884,126058.3333,261.2859226,0.002072738197,569.4,573.4,1142.8,308.4269047,352.5690476,643.8401803,0.5633883272
i-0009b7735dea24732,2,46,9.054579046,0.006317310482,0.0006976923443,6.353436152,0.04841942412,0.007620982247,126450.6667,427.2965403,0.003379156089,574.2,565.3,1139.5,124.6317242,121.7109965,209.3260349,0.183699899
i-002f7e27ea3e0bc1c,2,46,9.045120292,0.00519176788,0.0005739854985,6.350621541,0.03760069257,0.005920789379,123215.3333,248.5243114,0.002016991754,639.4,600.4,1239.8,277.3910998,146.1446772,334.827916,0.2700660719
i-007e12c9530b8cdea,2,46,9.06746806,0.04587362767,0.005059144115,6.382740869,0.09088750752,0.01423957347,122515.3333,294.5239096,0.002403975907,506.3,528.3,1034.6,121.8569745,117.5623239,226.6275456,0.2190484686
i-008e6f72c7403b5d3,2,46,9.0421581,0.00586486759,0.0006486136966,6.354813099,0.04906826312,0.007721432928,127146.3333,582.5472799,0.004581707271,604.2,520.5,1124.7,195.0423316,102.7167086,285.8177547,0.2541279938
i-00ba7a56c944e5a25,2,46,9.054463307,0.008446947195,0.0009329042384,6.553260697,0.05606619828,0.008555465876,126584.6667,229.3171021,0.001811570929,802,638.3,1440.3,549.9832321,302.6053719,798.8408338,0.5546350301
i-00d71d40b42658392,2,46,9.042040348,0.006125865475,0.0006774870759,6.358044068,0.04296188467,0.006757091366,123655.3333,242.2691341,0.001959229154,565.4,451.8,1017.2,295.2653044,177.2912231,469.3841829,0.4614472895
i-01f539b055c2a5d34,2,46,9.051512162,0.01091266387,0.001205617766,6.305476136,0.01632634336,0.00258923244,126836,69.15923655,0.0005452650395,500.5,611.1,1111.6,142.7999767,135.0518008,169.4751375,0.1524605411
i-0243a74ede206f760,2,46,9.056496329,0.03746186791,0.004136463655,6.364769565,0.03630185835,0.005703562082,126725.6667,246.6461703,0.001946300042,443.2,495,938.2,132.0503271,125.744008,195.6327625,0.2085192523
i-02765ba82e12781a4,2,46,9.044465595,0.00848626535,0.0009382826725,6.552473201,0.05872765927,0.008962670655,123554,357.030811,0.00288967424,568.7,629.4,1198.1,247.9632813,377.7836535,468.9815088,0.3914377003
i-02ca0e36a4acaf9fc,2,46,9.043026315,0.007725380058,0.0008542914494,6.374204344,0.05368973102,0.008422969852,124641,316.9652978,0.002543025953,607.6,621.4,1229,150.8076037,152.5160829,218.4394144,0.1777375219
i-040dfb2d2a1990b9d,2,46,9.043230454,0.006952756948,0.0007688355376,6.37060931,0.05084577573,0.007981304967,123902,35.34119409,0.0002852350575,430.2,467.6,897.8,186.241659,132.4027526,300.9044884,0.3351575945
i-048c3c6548c1a414a,2,46,9.048003515,0.007695339327,0.0008505013636,6.578620778,0.0890894435,0.01354226767,125962,253.3791625,0.002011552393,726.6,605.5,1332.1,172.5863391,101.3851293,161.6020146,0.1213137261
i-0507566c757134fb6,2,46,9.05448548,0.009356256658,0.001033328363,6.527181917,0.03433611643,0.005260480995,124209.6667,231.8045153,0.001866235709,763.3,585.5,1348.8,245.4397641,105.7904112,331.1994364,0.2455511836
i-05e473f8ff82c1527,2,46,9.055639002,0.01023915149,0.001130693426,6.364328172,0.04712154787,0.007404009755,125899,379.8683983,0.003017247145,477.8,537.8,1015.6,176.2276306,161.6792435,296.1974567,0.2916477517
i-067b2519b614c8f9d,2,46,9.041894807,0.008257694618,0.0009132703703,6.361681064,0.05472163496,0.008601757052,123145,409.6376448,0.003326465912,516.4,608.9,1125.3,244.8542424,163.4873084,318.5941514,0.2831193028
i-06b96f53253b4cc2e,2,46,9.045607567,0.009654764125,0.001067342802,6.528736062,0.04987554182,0.007639387065,124580.3333,75.07551754,0.0006026273612,466,586.8,1052.8,192.5287857,146.023438,294.70128,0.2799214286
i-071a48cf857bce94f,2,46,9.042927027,0.006589713025,0.0007287146082,6.407407231,0.0314843271,0.004913739047,123424,221.7588781,0.001796724122,723.5,707.5,1431,403.901872,306.4467509,683.737604,0.4778040559
i-07379900fe80899d6,2,46,9.051259491,0.00968498802,0.001070015508,6.525305695,0.02717663377,0.004164806224,125030,450.1599716,0.003600415673,496.5,549.9,1046.4,164.5250741,135.1110243,240.4727751,0.2298096092
